pl_name,hostname,discoverymethod,disc_year,disc_facility,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,sy_dist,st_teff,st_rad,st_mass,decade,earth_radius_class,orbital_period_class,distance_class_pc,disc_year_int
Kepler-1531 b,Kepler-1531,Transit,2016.0,Kepler,1.11,1.41,1.138543376,0.02204,666.334,6260.0,1.27,1.16,2010,Earth-size 0.5–1.25,<3 days,"500–1,000 pc",2016
Kepler-1532 b,Kepler-1532,Transit,2016.0,Kepler,1.35,2.39,1.093663559,0.0206,798.246,5559.0,0.88,0.91,2010,Super-Earth 1.25–2,<3 days,"500–1,000 pc",2016
Kepler-1533 b,Kepler-1533,Transit,2016.0,Kepler,3.46,11.8,308.5471,0.93416,966.801,6431.0,1.51,1.31,2010,Neptune-like 2–6,50–365 days,"500–1,000 pc",2016
Kepler-1534 b,Kepler-1534,Transit,2016.0,Kepler,1.89,4.23,5.71668872,0.0599,1107.0,5442.0,0.86,0.9,2010,Super-Earth 1.25–2,3–10 days,"1,000–5,000 pc",2016
Kepler-1535 b,Kepler-1535,Transit,2016.0,Kepler,2.55,7.04,138.9442,0.5329,897.733,6021.0,1.11,1.08,2010,Neptune-like 2–6,50–365 days,"500–1,000 pc",2016
Kepler-1536 b,Kepler-1536,Transit,2016.0,Kepler,3.14,10.0,364.758031,0.8507,387.248,4434.0,0.67,0.71,2010,Neptune-like 2–6,50–365 days,100–500 pc,2016
Kepler-1537 b,Kepler-1537,Transit,2016.0,Kepler,1.18,1.76,1.444453798,0.0245,517.292,5079.0,0.77,0.81,2010,Earth-size 0.5–1.25,<3 days,"500–1,000 pc",2016
Kepler-1538 b,Kepler-1538,Transit,2016.0,Kepler,2.82,8.35,175.138819,0.6095,1125.3,5837.0,1.03,1.03,2010,Neptune-like 2–6,50–365 days,"1,000–5,000 pc",2016
Kepler-1539 b,Kepler-1539,Transit,2016.0,Kepler,2.7,7.75,133.3036741,0.4765,748.326,5176.0,0.8,0.84,2010,Neptune-like 2–6,50–365 days,"500–1,000 pc",2016
Kepler-154 b,Kepler-154,Transit,2014.0,Kepler,2.26,5.73,33.040532,0.198,915.212,5690.0,1.001,0.933,2010,Neptune-like 2–6,10–50 days,"500–1,000 pc",2014
Kepler-154 c,Kepler-154,Transit,2014.0,Kepler,2.95,9.01,62.303276,0.303,915.212,5690.0,1.001,0.933,2010,Neptune-like 2–6,50–365 days,"500–1,000 pc",2014
Kepler-154 d,Kepler-154,Transit,2016.0,Kepler,3.84,14.1,20.54981883,0.14354,915.212,5769.0,0.98,0.98,2010,Neptune-like 2–6,10–50 days,"500–1,000 pc",2016
Kepler-154 e,Kepler-154,Transit,2016.0,Kepler,1.5,2.86,3.93276465,0.04766,915.212,5769.0,0.98,0.98,2010,Super-Earth 1.25–2,3–10 days,"500–1,000 pc",2016
Kepler-154 f,Kepler-154,Transit,2016.0,Kepler,1.5,2.86,9.91935684,0.08832,915.212,5769.0,0.98,0.98,2010,Super-Earth 1.25–2,3–10 days,"500–1,000 pc",2016
Kepler-1540 b,Kepler-1540,Transit,2016.0,Kepler,2.49,6.76,125.4131177,0.4426,244.96,4540.0,0.69,0.74,2010,Neptune-like 2–6,50–365 days,100–500 pc,2016
Kepler-1541 b,Kepler-1541,Transit,2016.0,Kepler,1.16,1.65,8.40691199,0.07555,416.692,5282.0,0.81,0.86,2010,Earth-size 0.5–1.25,3–10 days,100–500 pc,2016
Kepler-1542 b,Kepler-1542,Transit,2016.0,Kepler,0.76,0.363,3.95116882,0.04765,399.114,5564.0,0.99,0.94,2010,Earth-size 0.5–1.25,3–10 days,100–500 pc,2016
Kepler-1542 c,Kepler-1542,Transit,2016.0,Kepler,0.65,0.208,2.89223021,0.0387,399.114,5564.0,0.99,0.94,2010,Earth-size 0.5–1.25,<3 days,100–500 pc,2016
Kepler-1542 d,Kepler-1542,Transit,2016.0,Kepler,0.87,0.59,5.99273738,0.0629,399.114,5564.0,0.99,0.94,2010,Earth-size 0.5–1.25,3–10 days,100–500 pc,2016
Kepler-1542 e,Kepler-1542,Transit,2016.0,Kepler,0.76,0.363,5.10115756,0.05649,399.114,5564.0,0.99,0.94,2010,Earth-size 0.5–1.25,3–10 days,100–500 pc,2016
Kepler-1543 b,Kepler-1543,Transit,2016.0,Kepler,2.71,7.8,6.96710269,0.0867,921.784,6561.0,1.65,1.39,2010,Neptune-like 2–6,3–10 days,"500–1,000 pc",2016
Kepler-1544 b,Kepler-1544,Transit,2016.0,Kepler,1.78,3.82,168.811174,0.54465,335.09,4886.0,0.74,0.81,2010,Super-Earth 1.25–2,50–365 days,100–500 pc,2016
Kepler-1545 b,Kepler-1545,Transit,2016.0,Kepler,2.7,7.75,163.692349,0.5442,729.964,5201.0,0.8,0.84,2010,Neptune-like 2–6,50–365 days,"500–1,000 pc",2016
Kepler-1546 b,Kepler-1546,Transit,2016.0,Kepler,3.13,9.96,19.5974971,0.1366,931.956,5623.0,0.93,0.95,2010,Neptune-like 2–6,10–50 days,"500–1,000 pc",2016
Kepler-1547 b,Kepler-1547,Transit,2016.0,Kepler,0.9,0.666,0.692979676,0.01556,674.695,6078.0,1.18,1.12,2010,Earth-size 0.5–1.25,<3 days,"500–1,000 pc",2016
Kepler-1548 b,Kepler-1548,Transit,2016.0,Kepler,2.64,7.46,124.828679,0.4679,872.279,5706.0,0.97,0.99,2010,Neptune-like 2–6,50–365 days,"500–1,000 pc",2016
Kepler-1549 b,Kepler-1549,Transit,2016.0,Kepler,2.57,7.13,214.886545,0.6687,803.052,5324.0,0.84,0.88,2010,Neptune-like 2–6,50–365 days,"500–1,000 pc",2016
Kepler-155 b,Kepler-155,Transit,2014.0,Kepler,2.09,5.02,5.931194,0.056,293.499,4508.0,0.62,0.635,2010,Neptune-like 2–6,3–10 days,100–500 pc,2014
Kepler-155 c,Kepler-155,Transit,2014.0,Kepler,2.24,5.65,52.661793,0.242,293.499,4508.0,0.62,0.635,2010,Neptune-like 2–6,50–365 days,100–500 pc,2014
Kepler-1550 b,Kepler-1550,Transit,2016.0,Kepler,3.02,9.38,225.582809,0.7681,1179.01,5991.0,1.11,1.07,2010,Neptune-like 2–6,50–365 days,"1,000–5,000 pc",2016
Kepler-1551 b,Kepler-1551,Transit,2016.0,Kepler,2.66,7.56,24.4973698,0.1772,1463.72,6136.0,1.22,1.14,2010,Neptune-like 2–6,10–50 days,"1,000–5,000 pc",2016
Kepler-1552 b,Kepler-1552,Transit,2016.0,Kepler,2.47,6.66,184.771853,0.6011,769.096,5202.0,0.78,0.85,2010,Neptune-like 2–6,50–365 days,"500–1,000 pc",2016
Kepler-1553 b,Kepler-1553,Transit,2016.0,Kepler,1.15,1.6,4.24261881,0.0481,692.594,5288.0,0.81,0.85,2010,Earth-size 0.5–1.25,3–10 days,"500–1,000 pc",2016
Kepler-1554 b,Kepler-1554,Transit,2016.0,Kepler,2.9,8.75,198.088774,0.59527,946.847,5297.0,0.81,0.84,2010,Neptune-like 2–6,50–365 days,"500–1,000 pc",2016
Kepler-1555 b,Kepler-1555,Transit,2016.0,Kepler,1.61,3.22,8.10501635,0.0805,2013.27,5866.0,1.06,1.04,2010,Super-Earth 1.25–2,3–10 days,"1,000–5,000 pc",2016
Kepler-1556 b,Kepler-1556,Transit,2016.0,Kepler,1.96,4.5,8.82713457,0.0829,944.54,5608.0,0.95,0.97,2010,Super-Earth 1.25–2,3–10 days,"500–1,000 pc",2016
Kepler-1557 b,Kepler-1557,Transit,2016.0,Kepler,1.53,2.96,3.74032496,0.049,1380.16,6099.0,1.17,1.11,2010,Super-Earth 1.25–2,3–10 days,"1,000–5,000 pc",2016
Kepler-1558 b,Kepler-1558,Transit,2016.0,Kepler,0.68,0.244,3.50470358,0.04278,325.737,5101.0,0.79,0.83,2010,Earth-size 0.5–1.25,3–10 days,100–500 pc,2016
Kepler-1559 b,Kepler-1559,Transit,2016.0,Kepler,0.72,0.299,0.971915428,0.01835,614.827,5316.0,0.82,0.86,2010,Earth-size 0.5–1.25,<3 days,"500–1,000 pc",2016
Kepler-156 b,Kepler-156,Transit,2014.0,Kepler,2.3,5.9,4.973456,0.054,443.483,5094.0,0.807,0.864,2010,Neptune-like 2–6,3–10 days,100–500 pc,2014
Kepler-156 c,Kepler-156,Transit,2014.0,Kepler,2.55,7.04,15.906801,0.117,443.483,5094.0,0.807,0.864,2010,Neptune-like 2–6,10–50 days,100–500 pc,2014
Kepler-1560 b,Kepler-1560,Transit,2016.0,Kepler,0.89,0.64,3.03195744,0.04175,502.497,5815.0,1.02,1.02,2010,Earth-size 0.5–1.25,3–10 days,"500–1,000 pc",2016
Kepler-1561 b,Kepler-1561,Transit,2016.0,Kepler,1.09,1.32,1.005207007,0.0194,839.076,5957.0,1.11,1.07,2010,Earth-size 0.5–1.25,<3 days,"500–1,000 pc",2016
Kepler-1562 b,Kepler-1562,Transit,2016.0,Kepler,3.55,12.3,64.2737752,0.3308,2060.72,5760.0,1.05,1.02,2010,Neptune-like 2–6,50–365 days,"1,000–5,000 pc",2016
Kepler-1563 b,Kepler-1563,Transit,2016.0,Kepler,0.75,0.347,3.43276598,0.0442,616.697,5765.0,0.99,1.0,2010,Earth-size 0.5–1.25,3–10 days,"500–1,000 pc",2016
Kepler-1564 b,Kepler-1564,Transit,2016.0,Kepler,1.47,2.76,18.0540381,0.1327,908.805,5528.0,0.9,0.93,2010,Super-Earth 1.25–2,10–50 days,"500–1,000 pc",2016
Kepler-1565 b,Kepler-1565,Transit,2016.0,Kepler,1.19,1.81,1.538188437,0.0241,629.93,4940.0,0.73,0.76,2010,Earth-size 0.5–1.25,<3 days,"500–1,000 pc",2016
Kepler-1566 b,Kepler-1566,Transit,2016.0,Kepler,0.79,0.418,0.539915238,0.01198,466.586,5254.0,0.81,0.84,2010,Earth-size 0.5–1.25,<3 days,100–500 pc,2016
Kepler-1567 b,Kepler-1567,Transit,2016.0,Kepler,2.73,7.9,153.979578,0.552,1206.11,5655.0,0.93,0.95,2010,Neptune-like 2–6,50–365 days,"1,000–5,000 pc",2016
Kepler-1568 b,Kepler-1568,Transit,2016.0,Kepler,1.3,2.24,20.925392,0.15157,916.313,5956.0,1.19,1.09,2010,Super-Earth 1.25–2,10–50 days,"500–1,000 pc",2016
Kepler-1569 b,Kepler-1569,Transit,2016.0,Kepler,1.68,3.46,5.79180156,0.06669,945.454,6319.0,1.4,1.25,2010,Super-Earth 1.25–2,3–10 days,"500–1,000 pc",2016
Kepler-157 b,Kepler-157,Transit,2014.0,Kepler,1.32,2.3,1.732342,0.028,773.713,5774.0,1.044,0.95,2010,Super-Earth 1.25–2,<3 days,"500–1,000 pc",2014
Kepler-157 c,Kepler-157,Transit,2014.0,Kepler,2.24,5.65,13.5405,0.11,773.713,5774.0,1.044,0.95,2010,Neptune-like 2–6,10–50 days,"500–1,000 pc",2014
Kepler-157 d,Kepler-157,Transit,2016.0,Kepler,1.46,2.73,7.02573474,0.0706,773.713,5866.0,1.03,1.02,2010,Super-Earth 1.25–2,3–10 days,"500–1,000 pc",2016
Kepler-1570 b,Kepler-1570,Transit,2016.0,Kepler,1.07,1.24,26.548955,0.16699,918.995,5550.0,0.89,0.92,2010,Earth-size 0.5–1.25,10–50 days,"500–1,000 pc",2016
Kepler-1571 b,Kepler-1571,Transit,2016.0,Kepler,1.52,2.92,3.38555488,0.04287,675.303,6297.0,1.39,1.23,2010,Super-Earth 1.25–2,3–10 days,"500–1,000 pc",2016
Kepler-1572 b,Kepler-1572,Transit,2016.0,Kepler,0.94,0.779,5.49548621,0.05838,946.602,5618.0,0.95,0.97,2010,Earth-size 0.5–1.25,3–10 days,"500–1,000 pc",2016
Kepler-1573 b,Kepler-1573,Transit,2016.0,Kepler,1.2,1.87,2.6157554,0.0364,1455.36,5808.0,1.0,1.01,2010,Earth-size 0.5–1.25,<3 days,"1,000–5,000 pc",2016
Kepler-1574 b,Kepler-1574,Transit,2016.0,Kepler,1.29,2.21,6.9424334,0.0743,1384.16,5892.0,1.08,1.06,2010,Super-Earth 1.25–2,3–10 days,"1,000–5,000 pc",2016
Kepler-1575 b,Kepler-1575,Transit,2016.0,Kepler,1.31,2.27,2.55314213,0.0366,1246.92,5667.0,0.92,0.95,2010,Super-Earth 1.25–2,<3 days,"1,000–5,000 pc",2016
Kepler-1576 b,Kepler-1576,Transit,2016.0,Kepler,1.04,1.12,6.98471973,0.07211,460.91,5876.0,1.06,1.05,2010,Earth-size 0.5–1.25,3–10 days,100–500 pc,2016
Kepler-1577 b,Kepler-1577,Transit,2016.0,Kepler,1.13,1.51,6.30560247,0.0657,510.029,4862.0,0.74,0.78,2010,Earth-size 0.5–1.25,3–10 days,"500–1,000 pc",2016
Kepler-1578 b,Kepler-1578,Transit,2016.0,Kepler,1.04,1.12,1.450886907,0.0252,1064.05,5545.0,0.86,0.9,2010,Earth-size 0.5–1.25,<3 days,"1,000–5,000 pc",2016
Kepler-1579 b,Kepler-1579,Transit,2016.0,Kepler,0.84,0.52,0.849907889,0.014,466.0,4584.0,0.7,0.75,2010,Earth-size 0.5–1.25,<3 days,100–500 pc,2016
Kepler-158 b,Kepler-158,Transit,2014.0,Kepler,2.12,5.14,16.709184,0.111,315.177,4623.0,0.624,0.655,2010,Neptune-like 2–6,10–50 days,100–500 pc,2014
Kepler-158 c,Kepler-158,Transit,2014.0,Kepler,1.9,4.27,28.551383,0.158,315.177,4623.0,0.624,0.655,2010,Super-Earth 1.25–2,10–50 days,100–500 pc,2014
Kepler-158 d,Kepler-158,Transit,2024.0,Kepler,0.43,0.0472,0.645088,,315.177,4895.97,0.668,0.656,2020,<0.5 Earth radii,<3 days,100–500 pc,2024
